Date,Adj Close
01-12-2006,141.449173
04-12-2006,148.078171
05-12-2006,148.187225
06-12-2006,147.927109
07-12-2006,149.815109
08-12-2006,145.468521
11-12-2006,140.87854
12-12-2006,137.656342
13-12-2006,141.155457
14-12-2006,142.388962
15-12-2006,144.0336
18-12-2006,149.815109
19-12-2006,144.562256
20-12-2006,140.375092
21-12-2006,145.04895
22-12-2006,144.344086
26-12-2006,148.447357
27-12-2006,152.173004
28-12-2006,151.552078
29-12-2006,151.1409
02-01-2007,155.990967
03-01-2007,157.459427
04-01-2007,158.944626
05-01-2007,157.316772
08-01-2007,155.823151
09-01-2007,152.903046
10-01-2007,152.458298
11-01-2007,154.119751
12-01-2007,157.954514
15-01-2007,159.179596
16-01-2007,160.69841
17-01-2007,161.906723
18-01-2007,160.178146
19-01-2007,159.548798
22-01-2007,161.663361
23-01-2007,159.506851
24-01-2007,153.733749
25-01-2007,155.680511
29-01-2007,150.947937
31-01-2007,147.398483
01-02-2007,152.10585
02-02-2007,152.693253
05-02-2007,154.237228
06-02-2007,154.40506
07-02-2007,151.426208
08-02-2007,150.503159
09-02-2007,151.887726
12-02-2007,146.853027
13-02-2007,145.460129
14-02-2007,142.682648
15-02-2007,145.888046
19-02-2007,145.971985
20-02-2007,143.656052
21-02-2007,144.134293
22-02-2007,140.09819
23-02-2007,137.110947
26-02-2007,140.895355
27-02-2007,138.176605
28-02-2007,131.337845
01-03-2007,132.420303
02-03-2007,130.129547
05-03-2007,124.171844
06-03-2007,121.939804
07-03-2007,123.953667
08-03-2007,128.694641
09-03-2007,127.06678
12-03-2007,128.333832
13-03-2007,129.74353
14-03-2007,124.801147
15-03-2007,121.830704
16-03-2007,125.573143
19-03-2007,129.508591
20-03-2007,129.097397
21-03-2007,130.196671
22-03-2007,135.113861
23-03-2007,132.504227
26-03-2007,126.294792
28-03-2007,120.76503
29-03-2007,120.236382
30-03-2007,122.208305
02-04-2007,112.592087
03-04-2007,114.354225
04-04-2007,114.589172
05-04-2007,115.14299
09-04-2007,118.096657
10-04-2007,121.092285
11-04-2007,121.302063
12-04-2007,119.556725
13-04-2007,121.88945
16-04-2007,125.908791
17-04-2007,122.611076
18-04-2007,121.251709
19-04-2007,119.674187
20-04-2007,121.318825
23-04-2007,120.521683
24-04-2007,124.457146
25-04-2007,127.385628
26-04-2007,128.652695
27-04-2007,125.757774
30-04-2007,126.160522
03-05-2007,123.030647
04-05-2007,122.762115
07-05-2007,122.225098
08-05-2007,121.688026
09-05-2007,121.377602
10-05-2007,119.967865
11-05-2007,120.177666
14-05-2007,120.026634
15-05-2007,119.883972
16-05-2007,123.290764
17-05-2007,125.967522
18-05-2007,124.490692
21-05-2007,121.746819
22-05-2007,121.998535
23-05-2007,118.818298
24-05-2007,119.607071
25-05-2007,121.998535
28-05-2007,122.971893
29-05-2007,124.331261
30-05-2007,124.541046
31-05-2007,126.823441
01-06-2007,128.064774
04-06-2007,121.712479
05-06-2007,121.65255
06-06-2007,117.800079
07-06-2007,116.062187
08-06-2007,111.670364
11-06-2007,111.841583
12-06-2007,109.786934
13-06-2007,110.471817
14-06-2007,109.966721
15-06-2007,111.362167
18-06-2007,110.429008
19-06-2007,113.605156
20-06-2007,117.526123
21-06-2007,117.714462
22-06-2007,117.166565
25-06-2007,116.113541
26-06-2007,117.217934
27-06-2007,115.009171
28-06-2007,113.759254
29-06-2007,114.752342
02-07-2007,116.806999
03-07-2007,117.431938
04-07-2007,120.085876
05-07-2007,121.489899
06-07-2007,121.772415
09-07-2007,122.645622
10-07-2007,127.26004
11-07-2007,126.035812
12-07-2007,126.677864
13-07-2007,131.335068
16-07-2007,130.042358
17-07-2007,128.210312
18-07-2007,127.277176
19-07-2007,132.995956
20-07-2007,131.42926
23-07-2007,131.258041
24-07-2007,127.91925
25-07-2007,124.306465
26-07-2007,125.308121
